freq,real,imag
10.0,1222.2484327503787,-1288.7579351229945
10.23,1482.8125282926953,-1013.6019876330959
10.47,1340.254608492846,-1349.5509420912645
10.72,687.7500668276617,-1222.031366056134
10.96,1152.7926624735396,-1268.5497983106015
11.22,1002.4575719504928,-1145.5341493271765
11.48,681.2520304343533,-986.8638760242847
11.75,1007.0321128335587,-759.6982013212155
12.02,1031.4634893360005,-990.7229423742084
12.300000000000002,702.3251533082032,-921.9646941711461
12.59,839.0135087133484,-838.1181828101795
12.880000000000003,839.4344745247134,-1267.0750990663348
13.18,715.4737006873605,-1136.7291676214395
13.490000000000002,921.3014892590995,-1134.1728625598353
13.8,743.619591050981,-1099.1443104511861
14.129999999999999,903.0182751888685,-1215.9411192682905
14.450000000000001,762.438175919689,-1016.0917730115737
14.79,919.526179686425,-857.5818297678175
15.140000000000002,700.5321005919752,-984.8955608253578
15.490000000000002,926.6172231061034,-634.1810637427676
15.85,682.5500223899561,-1043.5189588332423
16.22,963.6987888652968,-877.3372930288581
16.6,634.2077312913182,-819.0709732682352
16.98,847.9844516550135,-911.0832720089624
17.38,921.5356187935098,-981.8327884695265
17.78,676.8639077011995,-1265.3258523604015
18.2,1092.394606881178,-858.8185727475686
18.62,764.9649380104134,-841.7089273887639
19.05,1002.8463651891002,-1117.6335032100249
19.5,917.055615722763,-746.5115206852154
19.95,612.9048762438858,-785.7705239615024
20.42,679.1612322347547,-651.0866740258359
20.89,745.6825680673917,-659.5032627767408
21.38,713.7137547999266,-874.0857138031538
21.88,800.3557550745625,-942.5787940965788
22.39,412.1270356189842,-832.408229682402
22.91,673.0107575236533,-888.2646464763875
23.440000000000005,788.7754903462098,-719.1353234104693
23.99,840.687319009908,-1022.4814674082045
24.55,676.4598526784185,-742.7497889676994
25.12,446.8317552171992,-686.8726276476177
25.7,580.7089180243404,-848.6570184717242
26.3,624.3159877433075,-672.3859996250169
26.920000000000005,688.8577452969399,-781.419088319229
27.54,806.3753382614436,-471.3722253502708
28.18,564.4864900120849,-818.9690416133702
28.840000000000003,675.2004870413161,-725.43768977413
29.51,617.6880660125883,-662.0757678254539
30.2,635.2909949984283,-679.0072152568151
30.9,556.1538585344309,-684.42369403528
31.619999999999997,537.7549718548585,-654.4066580441691
32.36,371.0784097871029,-648.6156434663712
33.11,522.7346796738316,-665.9250262133218
33.88,462.69379568888013,-689.2813878780031
34.67,576.6929164326862,-587.6612116000828
35.48,565.4140673143755,-643.9815456183218
36.31,519.0956201745441,-535.325533812269
37.15,497.48409467011624,-582.2503081409452
38.02,558.6060912119649,-651.2206347014308
38.9,563.785663084662,-561.4445076058095
39.81,566.4734840585559,-549.8689046272868
40.74,530.2459578081766,-525.4111852808104
41.69,589.2272169131993,-649.5415824967864
42.66,621.5492832747551,-490.99622499114037
43.65,439.15844414620835,-621.7130815249826
44.669999999999995,572.8024925528787,-458.53192034928975
45.709999999999994,511.71199357200925,-520.7615488207981
46.77,513.6684153301779,-501.46695281120617
47.86,529.1059327770695,-556.6198004101186
48.98,551.60441355699,-534.2098153279798
50.12,386.8227307113288,-585.9483590742452
51.29,541.2335172878549,-537.515076799968
52.47999999999999,412.7947090414611,-510.990253733305
53.7,469.91549260247143,-498.997991624727
54.95,474.8709483889991,-549.2580275792698
56.23,358.27083680651543,-482.2375600692273
57.54,452.063384371898,-557.8792019285909
58.88,420.0989814289627,-429.4142966024344
60.26,393.7573686002959,-472.79506169365396
61.66,512.6636001765186,-466.6252384885647
63.1,393.7787664259643,-475.1969526846751
64.57,497.02233939677126,-469.14248817082984
66.07,398.2819508468509,-394.2741560977986
67.61,419.8485277397986,-442.063969823633
69.18,364.53716013710886,-419.2279646368846
70.79,339.83366359160266,-423.5259640068722
72.44,339.9694752057202,-420.6655923555088
74.13,378.76295771626576,-458.2000066985675
75.86,356.51288093594127,-455.4029255813057
77.62,379.7190796062956,-371.3699845164265
79.43,369.0159993789498,-394.7625571692039
81.28,349.4457253171845,-442.8752538398203
83.18,433.83552044414483,-421.5352557975242
85.11,279.56541753631575,-387.54106201578855
87.1,323.27451761236006,-409.5285215846134
89.13,320.44218681919017,-368.12910636494075
91.2,368.7468790554365,-402.6358298914704
93.33,314.6723312124439,-332.82305274458156
95.5,306.507063254024,-317.94784406455415
97.72,334.26148725370854,-327.83280196910914
100.0,335.54311056698384,-360.7378227685154
102.3,318.4750489987691,-334.98507518943416
104.7,312.65047961549203,-324.6825979411969
107.2,282.7963588898366,-335.5402126809319
109.59999999999998,297.2322871337119,-347.7023753376807
112.20000000000002,308.0626675146069,-338.7750006113112
114.8,256.58024888598965,-291.05033311380373
117.5,292.8829204914518,-303.60668766157494
120.2,302.0422230323208,-326.14838519973205
123.0,252.34434735211227,-335.3431819726996
125.9,341.0253642053022,-302.22347678056155
128.8,290.09561863501983,-313.25786930776957
131.8,295.37825900818507,-316.4824809512879
134.9,298.78556254122987,-262.3225940982998
138.0,269.97574016093597,-273.35986201901466
141.3,267.9363747379457,-281.33184665017296
144.5,240.16471534750565,-310.35811788325515
147.9,274.50874561678353,-290.2163998581748
151.4,255.14877818198863,-259.2436645330324
154.9,228.94666304223594,-300.14898092824234
158.5,206.6412948777554,-271.99760492572346
162.2,260.9966298596909,-305.6425718588438
166.00000000000003,258.8006103735181,-278.7812232942709
169.8,214.4028568133993,-317.2989186905988
173.79999999999998,248.89720411240975,-259.6538097508652
177.8,224.00993009961095,-267.949807375126
182.0,217.0095097970493,-235.2191287349063
186.2,213.4315133375833,-249.04258070713826
190.5,208.896725138186,-277.90857082355956
195.0,216.77095609079464,-233.62740209855124
199.5,205.86760365919918,-224.29898116639595
204.2,168.70570815843377,-234.24684646787634
208.9,186.5717231637816,-239.7446343885695
213.8,243.47983909158188,-237.8232417475492
218.8,180.49894767504338,-228.00728626972827
223.9,211.78010809001262,-220.44809770585601
229.09999999999997,180.5700128113321,-215.1446103468192
234.40000000000003,190.47907658776572,-204.92078866346128
239.90000000000003,168.4178391070157,-228.5593634529349
245.50000000000003,175.8213877301225,-246.2057491849489
251.19999999999996,182.66406275559228,-183.06542522303326
257.0,205.0076885204622,-220.3736488119079
263.0,212.68848222625692,-192.32074125221993
269.2,173.91610229975046,-192.02654748123422
275.4,176.75823746792216,-227.48757316479967
281.8,175.66521828051864,-205.5701976591417
288.4,179.90279814202302,-189.79945586609807
295.1,158.66185563991846,-198.0247016340548
302.0,163.29476945903252,-142.07287756983652
309.0,149.26877587968332,-183.43164925639115
316.2,151.65827241676914,-167.89417542988159
323.6,150.78129476455365,-196.5510369702765
331.1,160.7221158380711,-143.85868870147326
338.79999999999995,161.04336644420886,-174.21955869425463
346.69999999999993,128.7472886751099,-143.17621499218302
354.8,156.94963578090963,-179.1223207110517
363.1,160.94510687659124,-154.79594217325442
371.5,142.59821458454323,-178.22774614572734
380.2,127.35601042283642,-154.97399288220484
389.0,123.31804780452535,-144.57010285701344
398.1,125.96647181153553,-174.90733353695705
407.3999999999999,123.83883561751406,-148.97273878541466
416.9,121.4613172351666,-163.35206796210525
426.6,132.57568083900426,-152.48196696659522
436.5,132.7779791739379,-137.2227701120904
446.7,137.74670969501287,-176.1082364624755
457.1,133.13118099700574,-127.26236112244464
467.7,150.18872755238573,-128.42895333762775
478.6,151.6647657156516,-146.81747452911551
489.8,123.30512242017001,-122.18818269320425
501.2,120.61703156901483,-119.76804453209361
512.9,102.42927010405297,-135.72005283633445
524.8,112.13788642219963,-122.85543022507659
537.0,142.9472455005894,-108.413851679378
549.5,106.58521755327865,-131.91220545347286
562.3,145.51087577401128,-122.32927450083086
575.4,112.36982644194124,-121.95442325723214
588.8,124.4461777266369,-109.82793152038224
602.6,133.07777629047192,-113.58979955449816
616.6,112.14202433274119,-110.92824144771134
631.0,101.8280574869769,-99.9649757988557
645.7,126.45126492436489,-109.39463645244777
660.6999999999999,103.90655015470078,-106.10230031926442
676.1000000000001,108.66594153006893,-104.42407090050472
691.8,102.55076702636661,-94.35345290559644
707.9,100.37471372300972,-95.00922992399988
724.4,106.39292603049995,-101.29800755276504
741.3,115.5672354795392,-97.04731475747776
758.6000000000001,105.44117543614175,-107.07111244833813
776.2000000000002,103.88047250851102,-96.81157076843856
794.3,91.85082240849361,-90.6674574794996
812.8,108.3665731732841,-89.69433140600485
831.8,90.95880177431349,-92.2397542963012
851.1,99.53851931951714,-94.12236446521158
871.0,91.0114838219162,-85.97262175841071
891.3,101.74575032775299,-91.61785233721393
912.0,96.34147704310426,-86.43702250755555
933.3,96.3362568803488,-80.52300104066744
955.0,98.26783778307497,-89.18010012032656
977.2000000000002,93.00453620415935,-83.07308626948414
999.9999999999999,98.62833281821825,-71.94408566896185
1023.0,92.23684730226348,-83.41632490191705
1047.0,83.26206563364086,-82.05216873085526
1072.0,86.90110391280999,-75.91758583742805
1096.0,90.58886349494027,-76.07214980618777
1122.0,89.24646786662008,-77.82444758427756
1148.0,88.35223812156286,-71.23390082420147
1175.0,86.5247041242779,-67.34997195791388
1202.0,83.55919528743227,-67.79760383810093
1230.0,87.32569591388908,-65.84967969090103
1259.0,87.08034322414863,-61.45660837855269
1288.0,83.76109215735028,-66.12017795157948
1318.0,88.92445922761443,-65.51929949332832
1349.0,84.03870819849476,-64.16182499582226
1380.0,85.68273868122172,-67.75685857591691
1413.0,82.3618945748967,-63.89039420741341
1445.0,81.22306646828098,-59.289123995569334
1479.0,81.79597653168659,-57.490376871406326
1514.0,78.23822309162728,-60.63595069399881
1549.0,80.609329219031,-54.83290345536202
1585.0,78.66909313697417,-58.11315778486084
1622.0,80.65168559894268,-52.54988159086364
1660.0,78.48758139120268,-54.38136623865283
1698.0,75.93011854060208,-50.78412958575865
1738.0,77.36334218653047,-49.61635481271996
1778.0,78.06145251556524,-51.51371784088372
1820.0,77.29803042736555,-52.367499801993716
1862.0000000000002,75.41306853218376,-49.389684336182725
1905.0,74.46719629815469,-49.719634931095364
1950.0000000000002,73.49676678709292,-46.41991747644862
1995.0,74.126941863243,-43.74228108661657
2042.0,75.6507992783414,-47.810193331095476
2089.0,73.5265516417074,-45.256557457489755
2138.0,72.42600758456526,-43.784437623848724
2188.0,73.94200856743505,-42.29663842252675
2239.0,72.1616401211668,-43.58987440283158
2291.0,70.74330158522262,-42.213392342107355
2344.0,72.34073842808705,-42.07077795193449
2399.0,71.32772987140756,-42.69540745909765
2455.0,70.58712035534492,-35.947327669767375
2512.0,66.52932762739447,-36.46702463651776
2570.0,68.90529249639424,-34.59353374073335
2630.0,68.88310194779986,-38.48432853303541
2692.0,67.44090541772904,-35.20586113511186
2754.0,69.49131547645194,-38.03538950241563
2818.0,68.2570123531941,-33.50214307922301
2884.0,69.68952653297345,-34.50822223356558
2951.0,69.74476995527374,-33.21991680386667
3019.9999999999995,69.21383541267377,-32.214253570708706
3090.0,67.48860384443904,-33.332436484455634
3162.0,67.7722370771682,-32.707263133228246
3236.0,67.17574098236466,-30.393932693956007
3311.0000000000005,66.3150100127648,-29.992067812174273
3388.0000000000005,66.48627482382821,-31.40863230545939
3467.0,67.11234371910437,-29.14014049873586
3548.0000000000005,64.29508890568917,-27.50019777816501
3630.9999999999995,64.86683329844989,-29.346410315155126
3715.0,64.19036624996106,-27.918430696810894
3801.9999999999995,64.1866089352798,-27.787462882223696
3889.9999999999995,64.83287385160058,-25.97904053523799
3981.0,64.06005232295247,-26.62197549706781
4074.0,64.62187139502028,-24.881761451061795
4169.0,64.1293635504167,-25.310351387468643
4266.0,63.869761563153475,-24.376539726780926
4365.0,63.86924187416315,-25.053016183134908
4467.0,63.07814832952411,-25.123301912972085
4571.0,61.951776759817,-23.062914423157743
4677.0,65.03762070408447,-24.306096680212857
4786.0,60.36903130434604,-23.269819110263196
4898.0,61.334464548756074,-22.293289924350386
5012.0,62.520533851913406,-21.097505722370144
5129.0,61.093507707920054,-21.123115424902593
5248.0,61.08809133806525,-22.186874920747293
5370.0,61.41304941999876,-20.60835504279496
5494.999999999999,61.6933697667453,-21.039742892670763
5623.0,62.269954049515626,-19.934857766248587
5753.999999999999,60.98879430431692,-18.884266051623104
5888.0,61.34509367230308,-18.77645362117917
6026.0,60.11779045667127,-18.299205393214404
6166.0,61.39853832429798,-18.422662249071077
6310.0,59.977208195061785,-16.97254629518963
6457.0,59.53292699013781,-17.870775789921858
6606.999999999999,60.34101010051651,-16.557385533529253
6760.999999999999,58.87552828697617,-17.354417179543272
6918.0,60.03972946415431,-18.041106387953516
7079.000000000001,59.97903671576901,-17.330868502581033
7244.0,58.84962690983496,-16.256682293460727
7413.0,59.21711585556406,-16.725173544421935
7586.0,58.87922331068886,-15.490610392971766
7762.0,59.064769729721604,-15.463163887485337
7943.0,58.18659136249331,-14.86753667852254
8128.0,57.78181324513097,-13.772716148145813
8318.0,58.88755005377394,-15.469515007069479
8511.0,59.39875927574963,-14.517643424948488
8710.0,57.88846588747456,-13.996701841560414
8913.0,59.7288095902658,-12.348392380138034
9120.0,57.45201830410757,-14.89640506627995
9333.0,59.39780697517641,-13.164759920397847
9550.0,57.92155751441053,-13.17598096067878
9772.0,58.974556972676005,-13.773826847361335
10000.0,57.640427163977826,-13.134207917771928
10230.0,57.49284124005233,-13.556990469752115
10470.0,57.65270128995809,-12.86340083211117
10720.0,57.360380761450685,-11.659433327743386
10960.0,57.60844535183953,-12.460023822234568
11219.999999999998,57.363462320378126,-11.948972551667719
11480.0,57.479121211517885,-12.1582848737451
11750.0,57.28722646476515,-11.584300015725118
12020.0,57.22080210663056,-10.389820799451194
12299.999999999998,57.92761341249127,-10.84363641860202
12590.0,56.214608619487215,-10.328797983393944
12880.0,56.9851510003725,-10.548093050293355
13179.999999999998,56.034222791159316,-10.096117862016978
13490.0,56.319670737556194,-9.449045167206773
13800.0,56.463075854440284,-10.468864754417098
14130.0,56.47209245509531,-8.972564255853356
14450.0,56.447386907990094,-8.515583407027613
14790.0,55.17259100253894,-9.638812247243655
15139.999999999998,55.69040385990124,-8.901594851890836
15490.0,56.28041539352651,-8.533112897771813
15850.0,56.3017126967621,-9.150766476083465
16219.999999999998,56.33651334121194,-9.089426976846694
16600.0,55.95319714591317,-9.0149894999375
16980.0,55.62621965218461,-8.610364944758754
17380.0,55.86759955467376,-8.885044691588593
17780.0,55.37335428339538,-8.42654617349905
